timestamp,src_ip,dst_ip,predicted_label,probability
2024-04-18 18:24:36,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:24:36,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:36,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,NORMAL,58.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,98.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:03,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:25:03,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:06,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:25:06,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:25:06,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,98.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:27,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:27,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:31,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:31,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:31,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:49:57,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:50:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:50:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:50:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:01,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:01,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,DOS,98.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,90.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,94.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,96.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,DOS,97.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,DOS,97.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:54:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
